constructor,status,date,circuit,year,race
Alfa Romeo,Finished,2019-09-01,Belgian Grand Prix,2019,13
Williams,Finished,2019-09-01,Belgian Grand Prix,2019,13
Alfa Romeo,Accident,2019-09-01,Belgian Grand Prix,2019,13
McLaren,Engine,2019-09-01,Belgian Grand Prix,2019,13
Red Bull,Accident,2019-09-01,Belgian Grand Prix,2019,13
Ferrari,Finished,2019-09-08,Italian Grand Prix,2019,14
Mercedes,Finished,2019-09-08,Italian Grand Prix,2019,14
Mercedes,Finished,2019-09-08,Italian Grand Prix,2019,14
Renault,Finished,2019-09-08,Italian Grand Prix,2019,14
Renault,Finished,2019-09-08,Italian Grand Prix,2019,14
Red Bull,Finished,2019-09-08,Italian Grand Prix,2019,14
Racing Point,Finished,2019-09-08,Italian Grand Prix,2019,14
Red Bull,Finished,2019-09-08,Italian Grand Prix,2019,14
Alfa Romeo,Finished,2019-09-08,Italian Grand Prix,2019,14
McLaren,Finished,2019-09-08,Italian Grand Prix,2019,14
Toro Rosso,Finished,2019-09-08,Italian Grand Prix,2019,14
Racing Point,Finished,2019-09-08,Italian Grand Prix,2019,14
Ferrari,Finished,2019-09-08,Italian Grand Prix,2019,14
Williams,Finished,2019-09-08,Italian Grand Prix,2019,14
Alfa Romeo,Finished,2019-09-08,Italian Grand Prix,2019,14
Haas F1 Team,Finished,2019-09-08,Italian Grand Prix,2019,14
Williams,Finished,2019-09-08,Italian Grand Prix,2019,14
Haas F1 Team,Fluid systems,2019-09-08,Italian Grand Prix,2019,14
Toro Rosso,Engine,2019-09-08,Italian Grand Prix,2019,14
McLaren,Tyre,2019-09-08,Italian Grand Prix,2019,14
Ferrari,Finished,2019-09-22,Singapore Grand Prix,2019,15
Ferrari,Finished,2019-09-22,Singapore Grand Prix,2019,15
Red Bull,Finished,2019-09-22,Singapore Grand Prix,2019,15
Mercedes,Finished,2019-09-22,Singapore Grand Prix,2019,15
Mercedes,Finished,2019-09-22,Singapore Grand Prix,2019,15
Red Bull,Finished,2019-09-22,Singapore Grand Prix,2019,15
McLaren,Finished,2019-09-22,Singapore Grand Prix,2019,15
Toro Rosso,Finished,2019-09-22,Singapore Grand Prix,2019,15
Renault,Finished,2019-09-22,Singapore Grand Prix,2019,15
Alfa Romeo,Finished,2019-09-22,Singapore Grand Prix,2019,15
Haas F1 Team,Finished,2019-09-22,Singapore Grand Prix,2019,15
McLaren,Finished,2019-09-22,Singapore Grand Prix,2019,15
Racing Point,Finished,2019-09-22,Singapore Grand Prix,2019,15
Renault,Finished,2019-09-22,Singapore Grand Prix,2019,15
Toro Rosso,Finished,2019-09-22,Singapore Grand Prix,2019,15
Williams,Finished,2019-09-22,Singapore Grand Prix,2019,15
Haas F1 Team,Finished,2019-09-22,Singapore Grand Prix,2019,15
Alfa Romeo,Accident,2019-09-22,Singapore Grand Prix,2019,15
Racing Point,Engine,2019-09-22,Singapore Grand Prix,2019,15
Williams,Accident,2019-09-22,Singapore Grand Prix,2019,15
Mercedes,Finished,2019-09-29,Russian Grand Prix,2019,16
Mercedes,Finished,2019-09-29,Russian Grand Prix,2019,16
Ferrari,Finished,2019-09-29,Russian Grand Prix,2019,16
Red Bull,Finished,2019-09-29,Russian Grand Prix,2019,16
Red Bull,Finished,2019-09-29,Russian Grand Prix,2019,16
McLaren,Finished,2019-09-29,Russian Grand Prix,2019,16
Racing Point,Finished,2019-09-29,Russian Grand Prix,2019,16
McLaren,Finished,2019-09-29,Russian Grand Prix,2019,16
Haas F1 Team,Finished,2019-09-29,Russian Grand Prix,2019,16
Renault,Finished,2019-09-29,Russian Grand Prix,2019,16
Racing Point,Finished,2019-09-29,Russian Grand Prix,2019,16
Toro Rosso,Finished,2019-09-29,Russian Grand Prix,2019,16
Alfa Romeo,Finished,2019-09-29,Russian Grand Prix,2019,16
Toro Rosso,Finished,2019-09-29,Russian Grand Prix,2019,16
Alfa Romeo,Finished,2019-09-29,Russian Grand Prix,2019,16
Williams,Tyre,2019-09-29,Russian Grand Prix,2019,16
Williams,Tyre,2019-09-29,Russian Grand Prix,2019,16
Ferrari,Engine,2019-09-29,Russian Grand Prix,2019,16
Renault,Accident,2019-09-29,Russian Grand Prix,2019,16
Haas F1 Team,Accident,2019-09-29,Russian Grand Prix,2019,16
Mercedes,Finished,2019-10-13,Japanese Grand Prix,2019,17
Ferrari,Finished,2019-10-13,Japanese Grand Prix,2019,17
Mercedes,Finished,2019-10-13,Japanese Grand Prix,2019,17
Red Bull,Finished,2019-10-13,Japanese Grand Prix,2019,17
McLaren,Finished,2019-10-13,Japanese Grand Prix,2019,17
Ferrari,Finished,2019-10-13,Japanese Grand Prix,2019,17
Toro Rosso,Finished,2019-10-13,Japanese Grand Prix,2019,17
Racing Point,Finished,2019-10-13,Japanese Grand Prix,2019,17
Racing Point,Finished,2019-10-13,Japanese Grand Prix,2019,17
Toro Rosso,Finished,2019-10-13,Japanese Grand Prix,2019,17
McLaren,Finished,2019-10-13,Japanese Grand Prix,2019,17
Alfa Romeo,Finished,2019-10-13,Japanese Grand Prix,2019,17
Haas F1 Team,Finished,2019-10-13,Japanese Grand Prix,2019,17
Alfa Romeo,Finished,2019-10-13,Japanese Grand Prix,2019,17
Haas F1 Team,Finished,2019-10-13,Japanese Grand Prix,2019,17
Williams,Finished,2019-10-13,Japanese Grand Prix,2019,17
Williams,Finished,2019-10-13,Japanese Grand Prix,2019,17
Red Bull,Tyre,2019-10-13,Japanese Grand Prix,2019,17
Renault,Disqualified,2019-10-13,Japanese Grand Prix,2019,17
Renault,Disqualified,2019-10-13,Japanese Grand Prix,2019,17
Mercedes,Finished,2019-10-27,Mexican Grand Prix,2019,18
Ferrari,Finished,2019-10-27,Mexican Grand Prix,2019,18
Mercedes,Finished,2019-10-27,Mexican Grand Prix,2019,18
Ferrari,Finished,2019-10-27,Mexican Grand Prix,2019,18
Red Bull,Finished,2019-10-27,Mexican Grand Prix,2019,18
Red Bull,Finished,2019-10-27,Mexican Grand Prix,2019,18
Racing Point,Finished,2019-10-27,Mexican Grand Prix,2019,18
Renault,Finished,2019-10-27,Mexican Grand Prix,2019,18
Toro Rosso,Finished,2019-10-27,Mexican Grand Prix,2019,18
Renault,Finished,2019-10-27,Mexican Grand Prix,2019,18
